year,AT solar [GWh],AT wind [GWh],BE solar [GWh],BE wind [GWh],BG solar [GWh],BG wind [GWh],CR solar [GWh],CR wind [GWh],CZ solar [GWh],CZ wind [GWh],DK solar [GWh],DK wind [GWh],EE solar [GWh],EE wind [GWh],FI solar [GWh],FI wind [GWh],GR solar [GWh],GR wind [GWh],HU solar [GWh],HU wind [GWh],IE solar [GWh],IE wind [GWh],LV solar [GWh],LV wind [GWh],LT solar [GWh],LT wind [GWh],LU solar [GWh],LU wind [GWh],NL solar [GWh],NL wind [GWh],NO solar [GWh],NO wind [GWh],PL solar [GWh],PL wind [GWh],PT solar [GWh],PT wind [GWh],RO solar [GWh],RO wind [GWh],SK solar [GWh],SK wind [GWh],SI solar [GWh],SI wind [GWh],SE solar [GWh],SE wind [GWh],CH solar [GWh],CH wind [GWh],DE solar [GWh],DE wind [GWh],FR solar [GWh],FR wind [GWh],ES solar [GWh],ES wind [GWh],UK solar [GWh],UK wind [GWh],IT solar [GWh],IT wind [GWh]
2003,15,372,0,88,0,0,0,0,0,5,2,4812,0,6,2,93,0,1021,0,4,0,454,0,48,0,0,1,26,25,1320,6,218,0,124,3,496,0,0,0,2000,0,0,2,598,18,5,313,19087,8,388,20,12075,3,1275,24,1458
2004,18,934,1,141,0,1,0,2,0,10,2,5688,0,8,2,120,1,1121,0,6,0,575,0,49,0,1,9,39,34,1871,6,252,0,142,3,816,0,0,0,6000,0,0,2,801,18,6,557,26019,8,595,24,15700,4,1736,29,1847
2005,21,1331,1,227,0,5,0,10,0,21,2,5721,0,54,3,170,1,1266,0,10,0,1032,0,47,0,2,18,52,35,2067,6,499,0,135,3,1773,0,0,0,6000,0,0,2,871,21,8,1282,27774,11,963,48,21176,8,2501,31,2343
2006,22,1753,2,366,0,20,0,19,1,49,2,5284,0,76,3,156,1,1699,0,43,0,1542,0,46,0,14,21,58,37,2666,7,636,0,256,5,2925,0,1,0,6000,0,0,2,928,24,15,2220,31324,12,2183,125,23297,11,3574,35,2971
2007,24,2037,6,491,0,47,0,35,2,125,2,6200,0,91,4,188,1,1818,0,110,0,1878,0,53,0,106,21,64,38,3108,7,892,0,522,24,4037,0,3,0,8000,0,0,3,1318,29,16,3075,40507,18,4070,507,27568,14,4491,39,4034
2008,30,2011,41,637,0,122,0,40,13,245,3,6002,0,134,4,217,5,2242,1,205,0,2330,0,59,0,131,20,61,40,3664,7,913,0,837,41,5757,0,5,0,7000,1,0,4,1630,37,19,4420,41385,42,5694,2562,32946,17,5787,193,4861
2009,49,1954,166,914,3,237,0,54,89,288,4,5445,0,196,4,232,50,2543,1,331,0,2875,0,50,0,158,20,64,45,3846,8,972,0,1077,160,7577,0,9,0,6000,4,0,7,2111,54,23,6583,38610,174,7912,5961,38117,20,7527,676,6543
2010,89,2064,560,1102,15,681,0,139,616,335,6,6027,0,277,5,255,158,2714,1,534,0,2735,0,49,0,224,21,55,56,3314,8,874,0,1664,211,9182,0,306,17,6000,13,0,9,3067,94,37,11729,37619,620,9945,6425,44271,40,7226,1906,9126
2011,174,1936,1169,1603,101,861,0,201,2182,397,15,7620,0,369,5,418,610,3315,1,626,1,4298,0,71,0,475,26,64,104,4298,8,1277,0,3205,280,9162,1,1387,397,5000,66,0,11,5622,168,70,19599,48314,2334,12372,7440,42918,244,10814,10796,9856
2012,337,2463,2148,1897,814,1221,2,329,2149,416,104,7995,0,434,6,444,1694,3850,8,770,1,3942,0,114,2,540,38,78,191,4193,9,1543,1,4747,393,10256,8,2640,424,6000,163,0,19,6705,300,88,26380,49949,4428,15178,8193,49472,1354,12244,18862,13407
2013,626,3152,2644,2125,1361,1374,11,517,2033,481,516,8184,1,529,6,728,3648,4139,25,718,1,4464,0,120,45,603,74,83,410,4856,10,1876,2,6004,479,12010,420,4520,588,6000,215,4221,35,9374,500,90,31010,50803,5194,16127,8326,55634,2010,16925,21589,14897
2014,785,3846,2886,2399,1252,1331,35,730,2123,477,596,7913,3,604,8,1061,3792,3689,67,657,2,5059,0,140,73,639,95,80,725,5049,12,2211,7,7676,627,12108,1616,6201,597,6000,257,4209,47,10566,842,101,36056,55908,6391,17324,8218,52002,4054,18554,22306,15178
